velx,vely,velz,posx,posy,posz
203.550,-104.125,-6.709,-4.424,-9.312,0.051
-102.165,3.286,3.300,-0.807,1.317,0.350
-25.194,-148.199,-56.954,-1.923,-0.306,0.265
-109.057,-67.826,18.056,-0.637,0.773,0.223
-63.580,172.517,9.994,1.793,0.795,0.110
153.507,-2.153,33.795,-0.299,-2.029,-0.085
-31.460,120.164,-3.929,4.709,1.756,0.044
-74.063,184.764,6.307,4.921,1.345,-0.199
8.942,-39.550,39.047,-0.710,1.105,0.126
157.738,-115.698,-28.218,-4.549,-4.935,0.223
-195.109,-89.735,-10.187,-1.716,5.013,-0.176
-12.789,-183.796,-8.996,-1.524,0.315,0.287
-195.710,-18.841,29.047,0.728,6.986,-0.425
-163.648,-79.487,-7.871,-2.173,3.681,0.020
50.429,46.647,4.489,1.735,-1.515,0.195
70.983,-205.444,30.503,-6.729,-3.559,0.005
-241.443,-6.498,-0.034,0.257,9.311,0.167
-238.087,-22.868,-51.552,0.284,4.146,-0.072
-82.510,153.320,21.974,2.823,1.600,-0.055
-124.401,201.646,43.925,1.541,0.674,-0.138
-112.373,164.543,23.976,5.024,3.466,-0.262
-144.487,-154.355,-2.069,-6.021,4.138,0.211
156.096,-95.982,-31.846,-0.746,-1.412,-0.086
-127.236,234.075,8.484,6.965,3.345,0.304
-224.757,-24.273,-0.244,-1.763,10.176,0.123
-155.246,137.896,-29.196,5.200,6.346,0.009
1.421,237.753,-0.713,10.180,-0.538,-0.008
225.691,12.186,1.206,0.990,-6.123,-0.581
3.728,-77.033,32.716,-1.676,-1.250,0.024
153.808,-172.310,-21.939,-1.312,-1.746,-0.294
-116.222,105.958,-19.595,2.114,0.956,0.279
124.223,-137.950,-14.248,-6.735,-5.277,-0.417
-50.910,-232.035,-52.032,-4.231,0.888,0.084
96.090,75.391,18.603,1.800,-1.101,0.029
65.872,-51.188,-12.648,-0.545,-0.802,0.060
-20.437,45.472,21.121,1.435,-0.289,-0.497
-163.878,-162.575,-28.411,-4.147,3.695,0.017
-26.439,236.188,-12.012,10.018,0.419,-0.018
-163.785,-148.447,-25.399,-5.343,6.726,0.078
-174.407,-121.845,3.304,-6.041,8.223,0.045
-99.136,-189.455,-0.105,-7.908,5.057,-0.001
223.063,-96.045,-40.236,-2.782,-4.758,-0.191
148.482,-168.745,-20.570,-4.323,-4.365,-0.664
103.772,175.664,51.281,1.523,-1.696,-0.222
-135.467,-150.078,-1.800,-3.565,3.979,-0.110
72.036,132.902,-17.380,2.118,-0.004,-0.265
-119.460,33.276,45.859,-0.163,1.660,-0.147
68.157,-170.302,-3.306,-3.927,-2.236,-0.117
-85.894,-124.146,-9.685,-2.467,1.824,0.079
91.597,75.161,12.843,1.678,-0.936,0.115
-128.276,1.566,-42.681,-1.431,0.865,0.063
-8.929,-178.451,-23.238,-2.518,0.958,-0.203
-219.060,-14.277,11.414,-0.281,6.975,-0.310
112.548,-100.069,-38.437,-2.077,-2.114,-0.118
215.739,14.922,5.677,0.096,-6.809,0.019
-220.359,59.623,-3.512,3.735,12.994,0.130
-23.133,238.147,-2.240,9.626,0.290,-0.099
108.546,88.028,57.748,0.470,-0.838,0.044
-153.008,151.068,-4.778,7.227,5.720,0.311
120.498,170.419,-12.900,7.136,-4.488,-0.037
-49.255,-44.076,23.616,0.090,0.543,-0.007
63.581,184.307,53.228,2.228,-0.047,0.382
-179.590,99.651,-43.512,4.086,5.707,0.054
150.271,136.800,2.145,4.369,-5.084,-0.233
-176.778,11.051,-8.116,0.212,5.285,-0.359
2.164,233.371,1.692,15.227,-0.315,0.193
225.754,-17.752,6.552,-1.935,-11.022,-0.078
-16.754,33.788,41.136,0.218,0.009,-0.168
116.728,-79.240,55.167,-0.434,-1.731,0.315
-157.409,-131.920,-31.998,-1.424,1.608,0.347
-193.744,-119.009,-32.882,-1.755,2.761,0.276
-229.212,-27.187,-7.192,-0.512,11.363,-0.070
-133.145,-165.869,12.900,-5.993,4.199,-0.063
-152.768,165.259,-6.000,15.765,14.497,0.649
-187.719,-10.563,-31.100,0.436,1.661,0.044
-114.932,-124.475,36.345,-1.188,0.433,-0.198
-103.541,96.598,25.243,1.879,1.907,0.047
175.121,152.186,10.004,8.200,-10.355,-0.097
-99.941,-236.287,7.103,-4.780,1.817,-0.177
-182.189,-131.038,-12.860,-3.330,4.201,-0.064
184.916,-68.048,25.236,0.506,-2.006,0.131
-73.476,136.130,-6.278,1.227,1.265,0.027
-248.686,53.011,5.925,2.193,8.706,-0.054
-169.572,-19.118,26.716,0.271,3.141,0.006
-227.992,-0.720,3.850,0.206,13.828,-0.068
109.358,150.996,-8.303,2.717,-1.029,0.243
-93.924,93.052,-5.889,0.780,1.712,0.210
-50.423,206.116,6.539,6.330,1.669,0.120
120.518,138.285,17.137,4.261,-3.060,-0.347
188.331,-33.507,39.551,-0.440,-4.529,-0.063
134.643,192.976,-1.641,13.076,-9.472,0.035
-196.902,-164.158,7.828,-5.409,5.715,-0.142
107.975,205.896,4.133,7.708,-3.469,0.007
-49.371,-174.962,-47.095,-2.958,1.285,-0.160
208.219,53.021,-15.246,1.681,-5.469,-0.004
-62.011,-237.811,-3.432,-12.346,3.394,0.178
-149.066,-202.980,1.779,-4.624,4.270,-0.001
87.481,-48.161,-22.104,-1.981,-1.950,-0.226
80.197,82.804,69.911,0.998,-1.086,-0.150
49.897,-209.147,-20.842,-6.551,-0.840,0.371
81.425,218.419,14.990,11.563,-3.738,-0.070
-138.004,-33.427,-21.398,-2.716,4.673,0.692
-237.291,-11.308,-3.051,-0.664,8.198,0.099
116.096,177.201,-10.360,4.035,-3.300,0.227
109.952,-204.317,-24.500,-8.707,-4.439,0.171
112.330,23.096,83.773,-0.394,-0.971,-0.116
-47.661,98.223,-29.265,0.736,0.773,0.158
-24.183,196.138,10.832,6.092,0.497,-0.893
135.770,83.452,14.838,1.712,-2.625,-0.096
64.310,64.574,22.207,1.019,-2.108,0.033
-58.638,-245.941,-36.067,-7.982,3.083,-0.222
208.299,20.174,6.662,1.649,-5.882,0.124
-105.988,-189.695,-4.022,-14.357,7.119,-0.005
-180.597,-8.152,-8.267,-0.636,4.765,-0.135
-81.416,197.561,-15.956,5.506,3.196,-0.090
-219.692,-17.399,2.005,-0.063,8.328,0.255
63.174,165.251,24.824,4.616,-1.654,0.531
101.304,114.471,42.405,2.645,-2.492,-0.089
31.140,23.047,-19.955,-0.145,0.013,0.125
208.428,-15.506,-4.472,-0.958,-3.753,-0.226
-234.474,27.108,7.214,2.377,6.095,-0.203
-227.121,18.172,0.223,0.791,6.937,0.291
4.954,-64.186,-100.021,-1.302,-0.263,-0.507
32.712,249.148,-28.689,5.039,-0.570,-0.384
-126.348,-68.366,-39.225,0.693,2.351,0.557
112.371,77.641,-8.614,0.835,-0.683,-0.174
236.938,60.260,-9.140,0.289,-4.327,0.043
161.803,-186.050,-20.875,-3.759,-4.291,-0.589
123.509,-202.418,-9.731,-10.177,-6.262,0.145
168.047,-157.619,-9.428,-7.025,-5.171,0.062
-45.937,-232.699,5.019,-8.239,2.127,0.016
-157.996,-46.479,-27.476,0.008,2.406,0.184
118.474,-191.084,-5.353,-19.444,-12.242,-0.658
27.415,-207.578,-19.314,-2.626,-0.495,-0.103
160.343,188.472,6.948,5.763,-4.975,-0.158
95.029,-207.889,45.368,-7.082,-3.428,-0.216
88.725,135.937,14.947,2.032,-1.195,0.518
-241.507,-54.878,7.881,-1.645,9.089,-0.191
116.533,53.458,-9.895,0.642,-1.841,-0.139
-210.109,106.799,57.234,1.601,2.247,-0.191
-62.728,-170.635,-58.472,-4.612,1.721,-0.081
-163.994,123.992,-5.239,4.769,4.603,0.198
-128.137,226.268,9.972,6.964,4.212,-0.218
-60.479,-231.614,-8.445,-9.970,2.595,0.381
24.860,177.997,53.465,3.545,-0.255,-0.054
139.238,91.014,-17.201,0.298,-1.660,0.536
-56.276,-228.115,5.534,-13.408,2.629,0.312
232.563,111.565,-14.818,2.395,-6.439,0.073
-66.097,-248.295,10.809,-8.881,2.425,0.012
-235.100,-14.515,5.616,1.135,4.999,-0.068
-15.871,146.646,-54.562,1.195,-0.124,-0.206
2.651,-158.004,53.448,-2.091,-0.279,-0.239
-158.059,152.286,-22.411,3.161,3.843,-0.032
-107.226,-182.421,-9.344,-3.998,2.773,-0.372
23.405,193.995,-8.324,5.313,0.192,-0.074
-141.878,90.469,-33.739,1.549,3.295,0.080
60.248,81.723,28.634,0.132,-0.432,0.137
-212.206,-72.601,-5.827,-2.467,7.739,0.065
138.797,125.876,3.201,6.144,-6.451,0.152
-90.369,-115.494,-24.512,-1.734,1.439,-0.036
