velx,vely,velz,posx,posy,posz
46.662,22.516,-44.450,0.417,-2.347,-0.035
20.719,-58.660,-8.798,-6.087,-1.348,0.010
5.201,-40.748,-2.700,-2.541,-1.197,-0.664
67.202,-2.403,-5.893,-0.759,-7.450,0.779
31.810,1.825,-9.753,-0.061,-1.766,0.473
-77.639,-17.161,3.496,-1.357,6.310,0.693
-54.123,39.524,-5.996,2.850,3.009,1.386
54.859,-48.761,-3.672,-2.394,-2.667,0.343
-6.051,74.287,-11.861,3.242,0.775,0.102
61.092,-16.035,-0.441,-3.079,-14.386,0.461
-18.758,49.673,19.604,3.387,1.127,0.743
53.293,-42.307,3.209,-5.199,-4.717,0.417
-47.306,-76.656,22.063,-1.784,2.203,-0.267
-57.273,32.424,-21.417,0.420,1.410,0.127
58.667,10.369,0.866,0.228,-4.593,0.031
18.448,-63.661,-4.814,-3.156,-1.102,0.470
-25.874,-67.632,-2.341,-5.535,2.336,-0.835
72.031,-17.186,-6.484,-1.186,-6.465,-0.620
-64.204,-38.089,-10.414,-1.813,4.069,-0.476
-55.407,-35.909,7.775,-6.186,10.260,0.326
-68.137,30.048,13.921,1.926,5.575,0.603
48.040,-6.852,-9.732,-1.148,-1.835,-0.273
-19.524,55.134,1.267,4.938,1.246,0.415
-44.005,15.594,-0.546,0.598,0.548,-0.287
43.960,-45.594,-5.265,-5.823,-5.443,-0.812
31.780,58.660,-3.007,4.113,-3.362,0.119
-69.957,-28.382,7.615,-3.116,5.644,0.399
14.213,76.365,-1.703,6.916,0.002,-0.154
-72.567,19.415,-10.165,1.369,6.367,0.489
-51.248,-30.980,16.284,-1.494,4.992,-0.827
-71.639,-13.075,-12.836,-1.786,2.733,0.648
-25.560,63.719,3.879,9.113,3.147,0.779
-76.867,-10.911,-2.688,-1.879,4.301,0.186
-49.256,-53.896,6.206,-0.964,2.547,0.123
-69.214,-4.035,5.511,0.112,4.657,0.118
59.573,17.592,4.251,1.434,-5.935,0.194
23.812,-49.235,5.177,-2.504,-1.475,-0.747
-56.216,38.211,-2.828,3.267,4.999,0.512
-69.386,35.054,-8.192,1.780,3.618,-0.113
-12.496,-74.141,-11.057,-7.094,2.390,-0.099
3.184,-71.831,0.708,-7.624,1.239,-0.473
53.512,39.990,13.859,5.579,-6.275,0.158
-52.520,27.759,0.386,9.879,15.863,0.408
70.851,-16.970,-21.726,-0.110,-4.700,0.194
16.207,-66.171,7.252,-10.408,-1.222,-0.027
-62.106,26.385,0.910,4.243,10.699,0.493
34.875,-54.891,-6.859,-7.036,-4.133,0.311
34.235,58.788,-9.437,3.770,-2.384,0.637
66.500,-40.167,0.901,-1.440,-2.817,0.071
-13.983,63.421,-16.959,5.008,1.739,-0.229
-14.006,85.832,-0.400,6.697,0.491,-1.576
-73.301,35.861,12.560,1.868,3.363,-0.822
-51.933,36.022,-18.795,3.781,4.349,-0.704
-63.255,0.536,6.588,1.769,3.697,-0.231
-36.156,-57.310,-3.869,-9.642,5.805,-0.453
-8.639,61.343,-2.924,7.034,1.947,0.495
-61.912,-16.480,3.480,-4.496,13.635,0.510
18.596,62.323,-13.364,4.296,-1.728,0.232
-42.055,52.041,-14.715,5.253,4.482,0.386
-19.302,46.952,1.043,4.018,1.535,-0.313
57.023,30.625,-10.194,5.037,-9.025,0.332
56.669,-19.423,3.020,-2.363,-3.611,-1.445
1.539,66.936,0.242,8.065,-0.000,-0.184
66.359,-18.495,-9.486,0.345,-4.017,-0.564
-1.346,36.707,16.669,0.745,-0.061,0.572
37.262,58.729,2.124,3.082,-3.374,-0.291
60.301,37.786,-3.538,4.842,-7.235,0.733
-29.897,-47.389,37.330,0.574,0.971,0.157
52.988,-24.172,5.670,-1.670,-2.862,-0.432
-60.732,-6.680,1.323,-1.619,16.448,-0.184
67.595,-2.862,4.351,-0.998,-9.787,0.645
15.560,66.380,-5.097,5.226,-1.739,1.118
46.606,41.753,11.257,2.836,-4.807,0.180
-62.406,-41.410,-8.605,-4.562,5.463,-0.994
1.362,59.737,-0.991,5.962,-0.723,-0.571
-39.943,51.962,9.184,9.453,8.734,0.256
-77.798,-16.224,4.259,-1.311,5.824,0.359
-26.469,60.375,-2.625,6.855,3.020,1.055
-13.319,64.350,8.054,4.727,0.771,-0.293
22.277,32.884,-21.780,1.553,-0.935,0.882
35.719,47.016,-1.793,3.929,-2.942,-0.370
62.548,-8.845,4.461,-0.611,-3.855,0.407
-43.435,34.978,5.310,2.935,5.112,0.845
-55.897,25.459,25.802,0.610,0.659,0.469
48.533,36.389,-2.062,3.419,-4.875,-0.239
-61.069,-24.731,15.551,-2.821,5.853,0.467
-8.608,6.799,-13.276,0.364,0.618,0.667
-66.129,6.150,-9.068,1.142,6.515,0.441
-11.917,-56.622,-0.785,-1.681,0.729,0.329
53.061,30.730,-3.123,3.353,-3.615,-0.761
-2.123,60.052,-21.255,3.675,0.803,-1.204
64.291,9.625,11.476,2.479,-10.507,-0.249
-13.788,-61.967,-3.010,-14.165,2.103,1.003
-33.861,-26.530,5.944,0.234,1.467,-0.173
41.576,-50.610,1.245,-4.627,-2.359,-0.940
-47.001,-43.058,-1.731,-1.580,2.842,-0.231
-11.180,-66.858,-18.354,-3.895,1.648,-0.032
66.036,31.343,-7.882,3.712,-7.260,0.117
-24.330,-59.199,6.332,-4.112,0.912,0.249
-25.725,-69.594,-0.442,-5.283,3.131,-0.474
64.156,-7.040,-1.169,-0.761,-7.781,-0.821
-36.503,62.167,10.444,5.356,3.316,0.543
25.595,70.683,3.804,7.869,-2.127,0.798
27.371,-51.329,9.822,-3.107,-1.264,-0.028
34.078,51.853,0.589,7.054,-4.120,0.144
-20.218,-52.051,-8.827,-7.464,0.959,0.890
3.062,-65.954,2.406,-12.247,-0.164,-0.029
16.795,-40.218,-8.627,-1.527,-0.404,-0.135
-1.508,-4.412,-26.775,-0.985,-0.826,0.416
32.269,-12.286,-34.953,-1.576,0.112,1.048
60.255,2.213,-4.934,1.639,-2.547,-0.090
29.498,60.055,-0.092,6.889,-4.324,0.679
-13.336,-64.028,12.658,-6.197,0.987,0.541
17.446,18.926,55.579,0.940,0.053,-0.071
-27.582,-59.090,-26.318,-2.745,2.033,0.203
32.116,57.167,2.381,6.039,-3.100,0.180
12.445,-65.878,-12.723,-6.361,-1.419,-0.486
39.527,47.427,-2.861,9.168,-9.642,-0.555
-5.611,68.593,0.801,13.331,0.976,0.277
-74.092,14.737,-28.711,0.709,1.708,0.141
67.621,-44.776,-12.159,-2.645,-2.986,-0.245
-12.283,-31.338,-7.722,-0.975,-0.145,0.042
-69.528,-34.215,-3.486,-3.257,7.303,-0.454
62.068,-33.228,2.867,-2.450,-4.741,0.460
27.601,66.454,-4.480,4.590,-3.187,0.197
-37.855,45.049,3.111,10.698,8.547,-0.350
-43.627,-53.902,-8.499,-4.251,5.845,0.539
-17.416,56.485,-14.060,1.792,-0.190,-0.291
-22.694,-60.749,12.565,-6.552,2.657,-1.591
-39.940,-52.210,-12.991,-1.608,0.892,0.141
-66.894,52.424,0.981,1.362,2.448,-0.075
24.238,68.027,1.111,12.519,-4.213,0.514
38.053,-39.360,8.490,-1.708,-1.869,-0.744
18.019,-47.336,19.525,-1.229,-0.109,-0.115
27.745,-64.649,18.832,-4.145,-1.503,1.754
24.643,71.040,-1.461,5.713,-0.844,-0.022
43.452,36.279,-4.338,1.261,-2.481,0.937
28.385,58.756,0.378,5.395,-2.338,0.748
-31.207,14.797,9.254,0.941,0.726,-0.221
66.354,-5.683,4.727,-1.162,-14.093,-0.375
-51.999,10.511,-0.581,4.227,25.699,-0.409
58.432,34.320,-12.972,2.496,-4.831,0.290
-9.004,23.075,-57.267,-0.086,0.850,1.114
-17.705,63.253,-11.842,5.770,2.592,-0.146
-59.631,5.947,5.395,-0.272,2.680,-0.684
-29.939,-73.737,-3.542,-4.574,2.654,0.352
-47.839,39.788,17.467,3.469,4.088,-0.352
-48.980,26.002,10.826,0.357,2.157,-0.681
49.714,49.615,20.539,1.827,-2.267,0.529
43.456,-44.687,-1.715,-9.633,-9.804,0.782
-38.040,51.050,2.128,5.959,3.085,0.785
59.700,37.036,5.833,3.369,-5.109,0.425
-50.005,21.064,-0.653,10.454,22.943,-0.406
62.399,14.267,0.534,3.813,-15.102,0.244
-37.601,-55.340,8.468,-7.643,3.774,0.085
-70.735,9.149,1.205,0.968,9.319,0.296
-1.002,53.893,31.981,3.853,-0.078,0.897
68.690,-1.146,9.212,-0.526,-5.994,1.141
22.813,54.983,-15.112,3.697,-1.366,0.309
51.613,53.788,13.609,4.829,-4.616,-0.148
42.075,-40.840,5.095,-3.370,-3.103,-1.203
66.656,-5.798,-8.872,-0.172,-2.341,-0.692
55.200,-46.785,-11.298,-2.194,-5.570,0.114
-66.587,-9.598,-12.921,-0.252,5.291,0.042
-13.361,59.334,-8.408,3.673,0.347,-0.603
-29.839,36.852,-12.970,2.388,0.898,0.103
34.367,-59.105,16.405,-1.427,0.027,-0.098
-45.151,-42.159,-0.940,-10.726,11.682,-0.167
69.592,-24.873,7.338,-1.678,-4.976,0.074
-30.671,65.539,-8.757,7.959,5.194,0.507
-69.562,-11.579,1.094,-1.501,10.597,-0.089
21.969,-66.797,5.078,-4.540,-1.966,-0.700
-57.679,-24.998,1.608,-2.938,4.257,0.273
-30.839,-32.609,-43.358,-1.024,1.009,0.028
66.933,-2.624,-14.489,-0.652,-5.773,-0.232
45.127,-37.641,-8.548,-2.897,-1.757,-0.196
-71.503,-29.102,7.410,-3.531,5.563,0.904
31.818,54.542,5.100,6.213,-3.593,0.785
-48.336,-40.040,-0.942,-8.754,11.692,-0.473
26.479,62.586,-11.734,2.848,-2.246,-0.733
34.494,-19.281,13.089,-1.300,-1.771,0.576
46.568,-51.301,-4.180,-7.345,-7.053,-0.609
45.915,-49.311,-5.832,-9.549,-7.588,-0.582
70.094,-26.421,-9.830,-2.140,-5.036,-0.055
54.189,-18.117,-17.321,-0.055,-3.573,-0.626
53.792,25.501,4.687,1.433,-3.278,0.268
63.961,18.505,-1.482,4.006,-13.296,1.244
-70.966,1.017,5.068,0.582,3.530,-0.454
-0.042,-58.526,3.068,-18.580,0.581,0.745
-28.205,53.782,1.456,15.725,8.898,-0.042
-11.108,59.790,-5.189,3.245,0.596,0.470
-62.679,-38.533,5.864,-3.456,7.161,0.964
-50.312,4.357,-2.721,1.643,2.905,-0.527
35.834,53.260,-15.342,1.155,-0.480,1.074
-60.186,33.508,-3.576,3.444,5.229,-0.226
-50.102,62.400,-0.885,2.062,2.316,-0.184
1.809,21.722,2.914,1.222,0.595,0.014
-31.893,59.892,-1.281,10.223,5.332,0.124
57.464,-1.486,10.396,-0.421,-5.647,-0.181
56.118,-45.432,-0.411,-4.444,-3.768,0.713
-19.508,-63.015,-6.805,-1.651,0.902,-0.128
-61.883,29.059,-1.029,4.591,11.271,-0.329
-53.958,-3.470,3.370,-1.631,3.815,0.054
