velx,vely,velz,posx,posy,posz
195.173,-100.145,13.958,-4.424,-9.312,0.051
-84.523,-44.622,3.300,-0.807,1.317,0.350
-20.368,-125.379,-56.954,-1.923,-0.306,0.265
-75.170,-84.305,-1.898,-0.637,0.773,0.223
-63.580,172.517,16.659,1.793,0.795,0.110
166.971,-72.490,13.030,-0.299,-2.029,-0.085
-98.714,197.138,-3.929,4.709,1.756,0.044
-57.619,211.312,6.307,4.921,1.345,-0.199
26.483,-66.850,-4.298,-0.710,1.105,0.126
157.738,-115.698,-16.883,-4.549,-4.935,0.223
-198.756,-79.085,-10.187,-1.716,5.013,-0.176
-1.469,-128.977,5.673,-1.524,0.315,0.287
-198.223,-12.370,12.398,0.728,6.986,-0.425
-192.077,-107.808,-3.336,-2.173,3.681,0.020
117.980,181.553,-10.217,1.735,-1.515,0.195
94.426,-181.332,30.503,-6.729,-3.559,0.005
-229.286,16.819,-17.842,0.257,9.311,0.167
-178.056,10.492,-51.552,0.284,4.146,-0.072
-67.906,217.724,-7.164,2.823,1.600,-0.055
-69.737,128.274,-16.110,1.541,0.674,-0.138
-110.862,162.353,20.636,5.024,3.466,-0.262
-128.258,-197.647,10.002,-6.021,4.138,0.211
75.553,36.038,59.338,-0.746,-1.412,-0.086
-93.702,221.333,-18.241,6.965,3.345,0.304
-233.222,-42.032,-12.479,-1.763,10.176,0.123
-173.281,139.764,-28.676,5.200,6.346,0.009
30.422,236.221,-0.713,10.180,-0.538,-0.008
203.049,8.524,1.206,0.990,-6.123,-0.581
63.823,-157.618,42.942,-1.676,-1.250,0.024
166.326,-108.365,-38.335,-1.312,-1.746,-0.294
-94.769,160.853,-19.595,2.114,0.956,0.279
112.730,-146.956,-15.544,-6.735,-5.277,-0.417
-94.936,-128.306,1.311,-4.231,0.888,0.084
98.421,79.203,57.768,1.800,-1.101,0.029
65.872,-51.188,-12.648,-0.545,-0.802,0.060
-38.780,49.165,21.121,1.435,-0.289,-0.497
-112.544,-135.870,-14.846,-4.147,3.695,0.017
-19.925,224.101,-12.012,10.018,0.419,-0.018
-173.336,-142.816,-25.399,-5.343,6.726,0.078
-181.766,-123.420,16.034,-6.041,8.223,0.045
-125.075,-172.866,-0.105,-7.908,5.057,-0.001
218.985,-103.017,-13.098,-2.782,-4.758,-0.191
136.626,-157.003,-20.570,-4.323,-4.365,-0.664
167.924,92.982,24.429,1.523,-1.696,-0.222
-177.801,-177.525,8.059,-3.565,3.979,-0.110
8.043,191.918,19.140,2.118,-0.004,-0.265
-122.966,-19.839,45.859,-0.163,1.660,-0.147
112.815,-184.734,-3.306,-3.927,-2.236,-0.117
-119.256,-196.416,16.570,-2.467,1.824,0.079
116.613,95.252,34.335,1.678,-0.936,0.115
-128.276,1.566,10.016,-1.431,0.865,0.063
-60.731,-169.972,-23.238,-2.518,0.958,-0.203
-221.107,36.608,-5.978,-0.281,6.975,-0.310
169.932,-189.651,20.108,-2.077,-2.114,-0.118
231.206,8.491,27.339,0.096,-6.809,0.019
-220.359,59.623,4.380,3.735,12.994,0.130
4.984,232.728,-2.240,9.626,0.290,-0.099
142.266,27.867,57.748,0.470,-0.838,0.044
-111.927,183.581,-14.805,7.227,5.720,0.311
155.521,187.274,-12.900,7.136,-4.488,-0.037
-49.255,-44.076,-12.940,0.090,0.543,-0.007
-29.699,186.277,86.204,2.228,-0.047,0.382
-210.657,121.894,-12.979,4.086,5.707,0.054
138.668,150.303,16.681,4.369,-5.084,-0.233
-203.599,12.125,-13.897,0.212,5.285,-0.359
2.047,227.691,1.692,15.227,-0.315,0.193
222.627,-35.560,0.555,-1.935,-11.022,-0.078
-16.754,33.788,15.279,0.218,0.009,-0.168
116.728,-79.240,-19.062,-0.434,-1.731,0.315
-120.460,-99.213,-28.562,-1.424,1.608,0.347
-177.116,-16.976,-17.571,-1.755,2.761,0.276
-239.774,-4.140,-7.192,-0.512,11.363,-0.070
-155.692,-192.133,9.452,-5.993,4.199,-0.063
-153.086,165.605,4.461,15.765,14.497,0.649
-168.859,103.094,-4.906,0.436,1.661,0.044
-104.271,-95.196,36.345,-1.188,0.433,-0.198
-87.292,45.729,16.586,1.879,1.907,0.047
168.879,147.242,7.026,8.200,-10.355,-0.097
-85.140,-197.338,15.769,-4.780,1.817,-0.177
-188.265,-124.831,0.472,-3.330,4.201,-0.064
184.772,-68.084,23.238,0.506,-2.006,0.131
-123.272,78.575,78.483,1.227,1.265,0.027
-232.168,48.851,-19.117,2.193,8.706,-0.054
-169.572,-19.118,-8.927,0.271,3.141,0.006
-227.992,-0.720,3.850,0.206,13.828,-0.068
-11.027,162.888,44.678,2.717,-1.029,0.243
-113.290,50.534,-27.339,0.780,1.712,0.210
-51.040,189.517,8.112,6.330,1.669,0.120
148.177,162.689,34.852,4.261,-3.060,-0.347
201.643,-24.323,-24.692,-0.440,-4.529,-0.063
134.643,192.976,-1.641,13.076,-9.472,0.035
-190.143,-171.301,10.686,-5.409,5.715,-0.142
85.396,211.993,0.466,7.708,-3.469,0.007
-78.813,-153.431,51.892,-2.958,1.285,-0.160
192.502,62.510,-31.712,1.681,-5.469,-0.004
-53.432,-240.169,-7.250,-12.346,3.394,0.178
-120.026,-171.530,30.493,-4.624,4.270,-0.001
119.374,-61.382,-22.104,-1.981,-1.950,-0.226
94.499,130.532,-64.604,0.998,-1.086,-0.150
-4.044,-199.291,-25.227,-6.551,-0.840,0.371
80.558,215.739,1.709,11.563,-3.738,-0.070
-138.004,-33.427,6.796,-2.716,4.673,0.692
-220.906,-31.600,-3.051,-0.664,8.198,0.099
147.101,187.659,7.128,4.035,-3.300,0.227
102.603,-208.065,-0.001,-8.707,-4.439,0.171
141.501,-167.534,83.773,-0.394,-0.971,-0.116
-50.207,100.646,-29.265,0.736,0.773,0.158
-23.281,185.081,10.832,6.092,0.497,-0.893
135.770,83.452,-60.391,1.712,-2.625,-0.096
89.658,12.154,22.207,1.019,-2.108,0.033
-81.242,-199.437,-2.726,-7.982,3.083,-0.222
200.785,73.582,-10.780,1.649,-5.882,0.124
-105.988,-189.695,-4.022,-14.357,7.119,-0.005
-230.416,-2.090,-8.267,-0.636,4.765,-0.135
-104.135,184.375,39.728,5.506,3.196,-0.090
-248.239,27.346,2.005,-0.063,8.328,0.255
84.734,209.541,24.824,4.616,-1.654,0.531
164.751,181.812,-3.052,2.645,-2.492,-0.089
31.140,23.047,14.298,-0.145,0.013,0.125
207.015,-21.040,31.472,-0.958,-3.753,-0.226
-250.919,111.932,-3.899,2.377,6.095,-0.203
-244.169,20.115,-3.626,0.791,6.937,0.291
27.111,-87.278,-100.021,-1.302,-0.263,-0.507
23.790,213.164,4.102,5.039,-0.570,-0.384
-126.348,-68.366,-39.688,0.693,2.351,0.557
86.364,45.842,-8.614,0.835,-0.683,-0.174
206.241,13.870,21.960,0.289,-4.327,0.043
186.834,-157.471,-20.875,-3.759,-4.291,-0.589
113.472,-186.104,10.846,-10.177,-6.262,0.145
139.683,-183.322,-9.428,-7.025,-5.171,0.062
-73.520,-199.749,-2.663,-8.239,2.127,0.016
-211.900,-20.437,-12.449,0.008,2.406,0.184
118.474,-191.084,1.839,-19.444,-12.242,-0.658
-8.050,-214.259,26.579,-2.626,-0.495,-0.103
166.060,183.537,0.304,5.763,-4.975,-0.158
100.306,-218.790,-15.871,-7.082,-3.428,-0.216
75.122,119.018,56.395,2.032,-1.195,0.518
-208.202,-48.852,7.881,-1.645,9.089,-0.191
89.207,35.877,-9.895,0.642,-1.841,-0.139
-176.293,154.258,-20.632,1.601,2.247,-0.191
-93.127,-244.054,-58.472,-4.612,1.721,-0.081
-146.989,151.885,-14.619,4.769,4.603,0.198
-140.934,195.454,9.972,6.964,4.212,-0.218
-64.764,-248.076,-8.445,-9.970,2.595,0.381
18.724,208.225,-12.100,3.545,-0.255,-0.054
70.875,-48.737,-17.201,0.298,-1.660,0.536
-58.518,-236.291,5.534,-13.408,2.629,0.312
232.563,111.565,37.876,2.395,-6.439,0.073
-65.768,-248.385,6.811,-8.881,2.425,0.012
-206.690,-20.965,45.544,1.135,4.999,-0.068
-22.925,78.495,-42.630,1.195,-0.124,-0.206
-56.522,-175.177,53.448,-2.091,-0.279,-0.239
-165.320,104.120,-7.703,3.161,3.843,-0.032
-94.212,-176.041,-8.572,-3.998,2.773,-0.372
34.413,194.393,8.400,5.313,0.192,-0.074
-114.848,77.760,6.924,1.549,3.295,0.080
60.248,81.723,28.634,0.132,-0.432,0.137
-217.174,-57.014,-11.641,-2.467,7.739,0.065
137.451,127.289,3.201,6.144,-6.451,0.152
-23.112,-111.851,-24.512,-1.734,1.439,-0.036
18.299,-114.058,-22.078,-0.639,-0.164,0.019
-184.503,142.226,-17.629,5.034,6.130,0.299
219.048,131.750,5.420,2.332,-4.252,0.007
-159.764,-123.976,-7.886,-3.882,3.744,0.301
-222.161,59.934,-1.702,3.328,12.423,0.133
109.361,1.154,-16.572,0.546,0.224,0.355
225.243,-33.282,-22.356,-1.031,-7.157,0.153
-54.017,99.178,-21.242,0.703,0.747,0.002
-121.484,-49.936,-55.532,-0.930,2.170,-0.001
-12.037,166.213,-12.099,3.903,1.327,-0.218
98.322,205.983,26.671,3.607,-1.333,0.109
31.033,-222.731,5.756,-7.562,-1.129,-0.448
-215.226,-129.417,2.555,-2.319,4.376,0.372
-180.865,5.518,-49.760,-0.548,3.810,-0.188
-183.722,-7.082,-8.965,-0.071,2.139,-0.197
159.222,67.064,-13.613,1.939,-4.561,-0.127
-28.842,163.797,-23.734,0.847,0.435,0.037
228.379,-24.843,10.620,-1.492,-8.130,0.099
-174.945,-124.927,36.796,-1.022,3.171,-0.069
-221.653,70.010,-42.143,0.549,2.899,0.193
-196.557,-75.923,-7.669,-1.788,6.644,-0.051
-224.913,-3.205,6.653,0.007,7.439,0.260
141.573,-65.639,32.183,-1.359,-1.497,-0.276
7.578,84.712,66.609,0.438,0.364,0.694
81.582,-126.010,-41.984,-1.239,-0.342,-0.196
