velx,vely,velz,posx,posy,posz
-14.026,143.146,11.376,1.456,0.028,-0.017
7.962,-85.430,-36.114,-1.386,-0.129,0.097
-120.274,-58.142,-11.487,-0.362,1.591,-0.238
29.880,-86.491,-66.303,-1.046,-0.286,-0.142
-55.429,-0.089,-26.351,-0.075,0.825,-0.347
-60.941,112.270,9.404,2.597,1.545,-0.502
76.785,46.229,28.891,1.005,-0.842,-0.093
-132.845,25.737,4.101,2.387,9.247,0.156
-105.367,-61.025,10.003,-2.135,4.199,-0.062
97.120,36.892,-68.704,0.689,-2.240,0.132
-26.835,42.475,80.734,0.501,1.485,-0.631
135.021,33.361,-13.600,1.149,-4.653,0.258
-101.131,79.354,46.464,2.173,1.692,-0.258
99.598,-118.624,17.347,-1.739,-1.911,-0.025
-85.483,121.544,-2.490,3.872,2.322,0.006
-24.934,-128.281,22.316,-0.032,0.223,0.306
3.789,131.897,-1.654,6.243,0.481,-0.101
-97.622,-32.679,49.444,0.232,2.789,0.091
-73.083,82.280,-11.801,1.131,0.708,0.083
71.579,-37.600,-11.535,-1.138,-1.842,-0.302
3.142,-13.784,-8.911,0.674,-0.384,0.391
-104.417,-83.430,-5.481,-1.572,3.289,0.292
60.735,71.557,60.124,0.882,-1.867,0.139
26.234,128.433,10.474,6.524,-0.735,-0.888
-111.113,-101.352,-23.072,-3.389,3.323,-0.019
38.164,-26.412,-24.002,-0.968,-1.805,-0.109
-96.721,-38.173,-46.689,-1.175,1.275,-0.292
111.067,-70.938,-1.468,-3.070,-5.146,0.033
80.965,-114.704,0.455,-6.748,-4.010,-0.277
-131.163,-12.200,-9.250,-1.300,7.434,0.114
-81.789,57.155,-38.410,1.289,3.083,0.789
144.707,13.273,4.440,1.234,-4.693,0.190
68.478,-106.201,-9.571,-3.227,-1.641,-0.309
-18.106,28.800,-62.030,0.552,0.252,-0.008
-4.902,99.251,-15.907,3.127,-0.605,0.182
107.017,-26.762,87.213,-0.286,-0.941,-0.067
-66.671,-24.453,6.041,0.892,1.146,-0.120
123.933,-21.296,-14.905,0.279,-2.847,-0.491
-26.506,142.575,-22.549,3.110,0.312,-0.070
-45.112,-92.299,-30.124,-1.604,0.288,-0.116
-23.531,130.554,-0.410,5.315,1.167,0.367
-36.980,-66.089,81.198,-0.645,0.881,0.085
25.664,-90.055,22.179,-1.314,-0.770,0.179
110.357,84.543,-80.868,-0.073,-0.704,0.035
86.796,11.746,70.765,1.004,-1.746,0.358
29.015,-73.714,-10.171,-0.502,-0.612,0.050
67.255,5.717,-30.061,-0.109,-1.046,0.158
-92.751,-109.573,37.745,-3.477,2.995,0.089
-139.886,82.336,-21.396,1.289,1.334,0.086
-20.909,-134.951,9.562,-8.747,0.961,0.027
-118.355,66.946,76.801,0.255,0.359,-0.251
72.893,-33.803,24.190,-1.061,-1.545,0.675
